IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
129.154.212.181,44699,true,NRT,Asia Pacific,Tokyo,73 ms,13826 kB/s
35.221.215.200,2023,true,TPE,Asia Pacific,Taipei,81 ms,11806 kB/s
154.17.28.199,8001,true,LAX,North America,Los Angeles,174 ms,11760 kB/s
193.122.122.16,40377,true,LAX,North America,Los Angeles,70 ms,10446 kB/s
20.6.32.20,4431,true,SIN,Asia Pacific,Singapore,105 ms,9604 kB/s
8.222.160.61,2087,true,SIN,Asia Pacific,Singapore,319 ms,9031 kB/s
38.59.226.113,34237,true,LHR,Europe,London,197 ms,8972 kB/s
8.222.248.188,2096,true,SIN,Asia Pacific,Singapore,308 ms,8901 kB/s
8.222.227.191,2096,true,SIN,Asia Pacific,Singapore,343 ms,8706 kB/s
47.236.7.206,2087,true,SIN,Asia Pacific,Singapore,273 ms,8687 kB/s
8.222.150.197,2083,true,SIN,Asia Pacific,Singapore,291 ms,8680 kB/s
8.222.224.162,2096,true,SIN,Asia Pacific,Singapore,342 ms,8669 kB/s
8.222.137.166,2083,true,SIN,Asia Pacific,Singapore,279 ms,8600 kB/s
146.56.177.67,61153,true,HKG,Asia Pacific,Hong Kong,72 ms,8598 kB/s
149.104.23.58,34237,true,HKG,Asia Pacific,Hong Kong,82 ms,8475 kB/s
8.222.215.228,2083,true,SIN,Asia Pacific,Singapore,320 ms,8464 kB/s
8.222.187.107,2087,true,SIN,Asia Pacific,Singapore,315 ms,8445 kB/s
47.236.79.77,2083,true,SIN,Asia Pacific,Singapore,339 ms,8275 kB/s
8.222.211.124,2096,true,SIN,Asia Pacific,Singapore,313 ms,8272 kB/s
8.222.182.10,2083,true,SIN,Asia Pacific,Singapore,303 ms,8268 kB/s
8.222.238.141,2053,true,SIN,Asia Pacific,Singapore,325 ms,8261 kB/s
8.222.137.178,2083,true,SIN,Asia Pacific,Singapore,324 ms,8116 kB/s
47.236.104.98,2053,true,SIN,Asia Pacific,Singapore,273 ms,8098 kB/s
47.236.114.167,2096,true,SIN,Asia Pacific,Singapore,290 ms,8003 kB/s
8.222.227.191,2083,true,SIN,Asia Pacific,Singapore,333 ms,7978 kB/s
8.222.160.61,2096,true,SIN,Asia Pacific,Singapore,329 ms,7920 kB/s
8.222.211.124,2087,true,SIN,Asia Pacific,Singapore,313 ms,7915 kB/s
8.222.215.228,2096,true,SIN,Asia Pacific,Singapore,305 ms,7573 kB/s
110.13.212.97,20880,true,ICN,Asia Pacific,Seoul,88 ms,7572 kB/s
14.54.63.38,50030,true,ICN,Asia Pacific,Seoul,119 ms,7510 kB/s
47.236.144.208,2087,true,SIN,Asia Pacific,Singapore,274 ms,7505 kB/s
47.236.83.239,2083,true,SIN,Asia Pacific,Singapore,352 ms,7478 kB/s
8.222.136.196,2087,true,SIN,Asia Pacific,Singapore,316 ms,7380 kB/s
218.54.200.63,30048,true,ICN,Asia Pacific,Seoul,81 ms,7379 kB/s
38.59.225.235,34237,true,LHR,Europe,London,202 ms,7065 kB/s
118.216.16.203,10025,true,ICN,Asia Pacific,Seoul,96 ms,6858 kB/s
38.59.238.175,34237,true,LHR,Europe,London,203 ms,6829 kB/s
154.197.121.127,443,true,SJC,North America,San Jose,173 ms,6810 kB/s
132.145.83.155,33799,true,ICN,Asia Pacific,Seoul,74 ms,6189 kB/s
110.11.25.32,10488,true,NRT,Asia Pacific,Tokyo,123 ms,5884 kB/s
219.240.54.189,10434,true,ICN,Asia Pacific,Seoul,74 ms,5563 kB/s
110.11.25.32,10517,true,KIX,Asia Pacific,Osaka,104 ms,5341 kB/s
175.121.23.104,38422,true,KIX,Asia Pacific,Osaka,109 ms,5290 kB/s
217.163.76.107,2053,true,SJC,North America,San Jose,174 ms,4904 kB/s
217.163.76.89,2053,true,SJC,North America,San Jose,175 ms,4807 kB/s
174.136.205.41,50008,true,SJC,North America,San Jose,184 ms,4093 kB/s
152.70.234.188,443,true,LAX,North America,Los Angeles,76 ms,4091 kB/s
180.70.218.108,10411,true,ICN,Asia Pacific,Seoul,82 ms,3947 kB/s
222.233.248.165,38344,true,KIX,Asia Pacific,Osaka,127 ms,3680 kB/s
175.125.207.253,33060,true,ICN,Asia Pacific,Seoul,83 ms,3657 kB/s
130.162.140.215,443,true,LAX,North America,Los Angeles,72 ms,3439 kB/s
27.50.48.108,443,true,SJC,North America,San Jose,173 ms,3366 kB/s
43.159.35.190,49142,true,SIN,Asia Pacific,Singapore,94 ms,3323 kB/s
154.197.121.248,8443,true,SJC,North America,San Jose,176 ms,3255 kB/s
154.197.121.13,8443,true,SJC,North America,San Jose,175 ms,2634 kB/s
154.197.121.253,443,true,SJC,North America,San Jose,180 ms,2586 kB/s
8.222.153.11,2083,true,LAX,North America,Los Angeles,483 ms,2419 kB/s
110.11.25.32,10602,true,NRT,Asia Pacific,Tokyo,115 ms,2391 kB/s
154.197.121.254,8443,true,SJC,North America,San Jose,171 ms,2262 kB/s
217.163.76.88,443,true,SJC,North America,San Jose,172 ms,2002 kB/s
219.249.124.238,28350,true,KIX,Asia Pacific,Osaka,120 ms,1980 kB/s
58.238.88.129,10106,true,ICN,Asia Pacific,Seoul,90 ms,1968 kB/s
218.54.154.5,11423,true,NRT,Asia Pacific,Tokyo,130 ms,1058 kB/s
159.89.112.72,8443,true,YYZ,North America,Toronto,271 ms,855 kB/s
58.238.88.129,38507,true,NRT,Asia Pacific,Tokyo,157 ms,845 kB/s
118.163.128.81,17333,true,KHH,Asia Pacific,Kaohsiung City,92 ms,696 kB/s
211.44.160.106,10096,true,ICN,Asia Pacific,Seoul,80 ms,656 kB/s
38.180.128.251,2053,true,SYD,Oceania,Sydney,314 ms,615 kB/s
217.163.76.75,443,true,SJC,North America,San Jose,182 ms,611 kB/s
47.241.209.61,443,true,SIN,Asia Pacific,Singapore,90 ms,589 kB/s
217.163.76.59,443,true,SJC,North America,San Jose,175 ms,505 kB/s
154.197.121.99,8443,true,SJC,North America,San Jose,177 ms,505 kB/s
18.183.137.85,2083,true,LAX,North America,Los Angeles,69 ms,431 kB/s
43.154.196.20,65432,true,HKG,Asia Pacific,Hong Kong,74 ms,406 kB/s
159.65.165.75,8443,true,EWR,North America,Newark,344 ms,397 kB/s
202.81.231.30,55576,true,HKG,Asia Pacific,Hong Kong,81 ms,362 kB/s
1.232.40.93,39460,true,KIX,Asia Pacific,Osaka,120 ms,352 kB/s
203.57.51.179,8443,true,SYD,Oceania,Sydney,340 ms,213 kB/s
170.64.228.44,8443,true,SYD,Oceania,Sydney,343 ms,150 kB/s
124.50.116.202,36831,true,LAX,North America,Los Angeles,235 ms,134 kB/s
178.128.225.209,2053,true,YYZ,North America,Toronto,347 ms,77 kB/s
45.251.240.229,34237,true,KIX,Asia Pacific,Osaka,96 ms,67 kB/s
211.75.74.232,4443,true,LAX,North America,Los Angeles,77 ms,64 kB/s
193.203.203.102,8443,true,YYZ,North America,Toronto,274 ms,58 kB/s
170.64.161.80,8443,true,SYD,Oceania,Sydney,328 ms,52 kB/s
20.167.48.9,8443,true,SYD,Oceania,Sydney,200 ms,45 kB/s
43.154.34.74,1935,true,HKG,Asia Pacific,Hong Kong,76 ms,29 kB/s
18.100.124.0,8443,true,MAD,Europe,Madrid,224 ms,29 kB/s
129.151.152.254,443,true,AMS,Europe,Amsterdam,246 ms,25 kB/s
138.197.131.113,2053,true,YYZ,North America,Toronto,367 ms,23 kB/s
211.246.192.9,10051,true,LAX,North America,Los Angeles,207 ms,0 kB/s
140.238.26.92,20855,true,LAX,North America,Los Angeles,71 ms,0 kB/s
